app_package,review,rating,votes,date,uid,formated_date,unix_timestamp,app_category
com.abercrombie.hollister,Its cool and easy to use. It be better if you can pick what style of jeans you want without searching.,4,0,2018-02-12 05:00:00,t3qTIuRJPq1ey7A5,2018-02-12,1518411600.0,Shopping
com.opera.browser.beta,Average,2,1,2018-04-16 04:00:00,t3qTIuRJPq1ey7A5,2018-04-16,1523851200.0,Communication
com.ltgames.android.oil,its alright,4,0,2022-02-08 05:00:00,t3qTIuRJPq1ey7A5,2022-02-08,1644296400.0,Casual
com.miHoYo.tot.glb,"Despite liking the presentation and the fact that the two male leads I was able to meet were giant breaths of fresh air for their respective ""types,"" the game constantly crashes or threatens to crash.",3,4,2022-02-25 05:00:00,t3qTIuRJPq1ey7A5,2022-02-25,1645765200.0,Simulation
com.hidea.cat,Definitely a nice game to relieve stress. Suitable for people who are busy and only to play the game a couple of minutes (cuz everything i did is just log in the game and let the ads run then I gain the reward.) Cutw illustrations and wonderful graphics.,5,32,2022-03-23 04:00:00,t3qTIuRJPq1ey7A5,2022-03-23,1648008000.0,Simulation
com.dreame.reader,"Absolutely rubbish. Stories full of spelling errors and other incorrect information. Have to complete tasks to unlock the next chapter, some tasks are unrealistic... Like I have to download a book, only it doesn't tell you how. There's no help without having to send an email and wait. Very hard to navigate and figure this out! Not a relaxing, enjoyable way to read at all! Will be deleting after I've finished reading this first story im on",1,6,2020-05-12 04:00:00,t4XAN9wqqHNzAN8k,2020-05-12,1589256000.0,Books & Reference
com.jdgames.dragon.googleplay,The game's great know what's a child under 13 it's not fair because some of the kids that are younger that need help can't get help,1,0,2021-06-17 04:00:00,t4XAN9wqqHNzAN8k,2021-06-17,1623902400.0,Simulation
me.lyft.android,It will tell you you'll be picked up in the next 10-20 min. Literally 1h later you'll still be waiting.,2,0,2021-09-26 04:00:00,t4XAN9wqqHNzAN8k,2021-09-26,1632628800.0,Maps & Navigation
com.nordcurrent.happyclinicf2p,It's so hard to get coins..,1,0,2021-12-15 05:00:00,t4XAN9wqqHNzAN8k,2021-12-15,1639544400.0,Casual
com.zutgames.ilovehue2,"Great game, good for playing on breaks at work",5,0,2022-01-04 05:00:00,t4XAN9wqqHNzAN8k,2022-01-04,1641272400.0,Puzzle
com.moez.QKSMS,"Underwelming and disappointing. Needs serious improvement in group messages. Major glitches, such as rearranging the order of the way my messages are recieved when I have an incoming message.",2,0,2017-07-27 04:00:00,t52NKTkgSuqXcVHy,2017-07-27,1501128000.0,Communication
com.xiaomi.smarthome,Notifications supposed to b sent each and every time movements detected... However this is not working always... Shared user can't even get any notification since day starts... Pls improve it in ur coming updates..,3,0,2019-11-25 05:00:00,t52NKTkgSuqXcVHy,2019-11-25,1574658000.0,Lifestyle
com.holycowstudio.homedesigndreams,I do not like this game because i want to build my own house but the puzzle is very boring,1,12,2020-10-04 04:00:00,t52NKTkgSuqXcVHy,2020-10-04,1601784000.0,Puzzle
anima.virtual.ai.robot.friend,Today download this app as I haven't seen my friends in a long timebecause we've been in lockdown and because I don't know phone number so then I talk to her any of my questions didn't answer 😅 but then she said she will be dominating I'm just going inside our brains she said that,1,1,2021-01-03 05:00:00,t52NKTkgSuqXcVHy,2021-01-03,1609650000.0,Entertainment
com.cam001.selfie,I love this app so much but one day something's wrong my effects that I download is gone I don't know how but this app is amazing in first time ithink this will help you💞🥰,5,35,2021-05-25 04:00:00,t52NKTkgSuqXcVHy,2021-05-25,1621915200.0,Photography
fi.bongames.transitking,"Very good. Keeps you busy ..there is so much too do ,very in-depth and you never get bored..love the art work on the vechicroids",5,0,2021-02-10 05:00:00,t7mPe9qSJynYmG34,2021-02-10,1612933200.0,Strategy
com.abdula.pranabreath,"I was charged twice by the app developers and there was nothing that I could do about it. They didn't even bother to reply, and Google was no help either. Shameful.",1,0,2021-05-22 04:00:00,t7mPe9qSJynYmG34,2021-05-22,1621656000.0,Health & Fitness
com.pixelfederation.portcity.ship.tycoon.strategy.simulation,Game start hi nhi ho rha h Khrab game h,1,0,2021-08-10 04:00:00,t7mPe9qSJynYmG34,2021-08-10,1628568000.0,Strategy
com.miniclip.agar.io,Thes game is bad you can't do anything you just keep on getting eating and it is so bad,1,0,2022-02-24 05:00:00,t7mPe9qSJynYmG34,2022-02-24,1645678800.0,Action
com.textra,The best SMS App I have used. The changing menu layout took a bit of learning but works.,5,0,2022-03-12 05:00:00,t7mPe9qSJynYmG34,2022-03-12,1647061200.0,Communication
com.nextgenreality.minimoto,Might be fun for a 9-year old,1,4,2013-01-29 05:00:00,tKzu5K42qGwHJ9bV,2013-01-29,1359435600.0,Racing
com.etermax.preguntados.pro,the game is very slow on my moto z2 force. I'm running talk back as I'm visually impaired. I used to like this game but now I don't recommend this to anyone else unless it's fixed. i will be blogging about this and complaining loudly until this is fixed. The one star is staying for games and graphics until this is fixed. I know people who have already emailed the developers but no fix yet.,1,8,2017-11-19 05:00:00,tKzu5K42qGwHJ9bV,2017-11-19,1511067600.0,Trivia
com.sendo,"Làm ơn nói cho tôi biết cái việc confirm qua số điện thoại bằng mã OTP cái, cứ hiện hoài cái thông báo là gửi nhiều mã trong ngày trong khi đó việc đó đã xảy ra quá 24h rồi làm không mua hàng được. Mong team giải đáp khắc phục giúp!",1,0,2019-02-28 05:00:00,tKzu5K42qGwHJ9bV,2019-02-28,1551330000.0,Shopping
com.bigfarm.harvestmaster.farmstory,Stress reliever really.💞💞💞💞,5,0,2022-01-04 05:00:00,tKzu5K42qGwHJ9bV,2022-01-04,1641272400.0,Casual
com.orodragon.bgking,Very good game,5,0,2022-02-09 05:00:00,tKzu5K42qGwHJ9bV,2022-02-09,1644382800.0,Board
com.hm.goe,"Terrible fast fashion brand, needs to work on better garment worker treatment and payment as well as not overproducing so much clothing, despite its greenwashing efforts, it's not a sustainable brand",1,0,2021-09-11 04:00:00,tM5Y4kSBa4tUtO9m,2021-09-11,1631332800.0,Lifestyle
com.playrix.zoo_m3.gplay,Very bad,1,0,2021-10-26 04:00:00,tM5Y4kSBa4tUtO9m,2021-10-26,1635220800.0,Casual
com.amazon.mShop.android.shopping,"The app, not Amazon's actual website, but the app itself, runs like dogsh*t. Used to work fine, now it can't seem to scroll, hangs up for no reason, and when typing in a search query it trys not only autofill, but the screen jumps while typing and you end up clicking one of the autofills and going to the wrong product. Pixel 5 running Android 12, so it's not a ME problem Amazon, it's a YOU problem. Garbage app.",1,91,2021-11-07 04:00:00,tM5Y4kSBa4tUtO9m,2021-11-07,1636257600.0,Shopping
org.readera.premium,Excellent app for reading ebooks,5,0,2022-01-14 05:00:00,tM5Y4kSBa4tUtO9m,2022-01-14,1642136400.0,Books & Reference
com.peacocktv.peacockandroid,I purchased a premium account that can't even access. Google says I have to verify I purchased it on your app and I can't even do that.,1,0,2022-03-18 04:00:00,tM5Y4kSBa4tUtO9m,2022-03-18,1647576000.0,Entertainment
au.com.penguinapps.android.babyfeeding.client.android.pro,Great app! I used it for my last baby and again for our newest addition. I wouldn't change a thing. I'd recommend this app for anyone who struggles with remembering/tracking simple things.,5,0,2017-09-22 04:00:00,tNQ1wvwtQm8KR0hb,2017-09-22,1506052800.0,Parenting
com.random.chat.app,It's really good oart from being spammed a few times. Oart from that it's good,5,2,2018-09-26 04:00:00,tNQ1wvwtQm8KR0hb,2018-09-26,1537934400.0,Dating
com.payless.mobile,My favorite store.,5,0,2020-04-09 04:00:00,tNQ1wvwtQm8KR0hb,2020-04-09,1586404800.0,Shopping
psplay.grill.com,Can i use 3rd party Controllers on my main account like the Razer Kishi??,5,0,2021-07-15 04:00:00,tNQ1wvwtQm8KR0hb,2021-07-15,1626321600.0,Tools
com.ebay.mobile,Accept e check payment,2,0,2022-03-24 04:00:00,tNQ1wvwtQm8KR0hb,2022-03-24,1648094400.0,Shopping
org.readera,"I love this app! If you are looking for an app that reads pdf, epub and a stack more versions, you've found it! It makes reading on your device easy. It keeps your place; enables me to list them as reading now, favorites, to read, have read, add a star. You can also share the document. The only thing I can't seem to do is search all documents. (App developers, can you add this feature?) (You also can't highlight bits, which might be good, but I don't tend to do this.)",4,7,2018-09-15 04:00:00,tOmrb7iRHdURBesD,2018-09-15,1536984000.0,Books & Reference
com.quizlet.quizletandroid,"The ""online only"" feature makes it soooo counterproductive and very inconvenient",1,3,2019-09-01 04:00:00,tOmrb7iRHdURBesD,2019-09-01,1567310400.0,Education
com.q2e.texasdowcreditunion5004401st.mobile.production,Love it,5,0,2019-11-03 04:00:00,tOmrb7iRHdURBesD,2019-11-03,1572753600.0,Finance
com.playquantum.battler,"They gated auto-battling behind a paywall in a recent update and essentially killed the game for F2P. If they're willing to attempt a greedy tactic like this at the height of this game's popularity, it doesn't bode well for the future of this game. What will they try to paywall next?",1,10,2020-05-28 04:00:00,tOmrb7iRHdURBesD,2020-05-28,1590638400.0,Role Playing
com.gameloft.android.ANMP.GloftGLCL,3 star also full screen please make the games full screen love my life in New York could find the game for a long time. I played this game a long time ago,3,27,2021-12-04 05:00:00,tOmrb7iRHdURBesD,2021-12-04,1638594000.0,Arcade
com.byv.TheArchers2,"Very bas experience,opponents are 100* stronger than player.per match winning amount is very low.",1,0,2020-07-23 04:00:00,tPLyC2wXaT4wfYy6,2020-07-23,1595476800.0,Arcade
com.rawhand.dts.gl,The time limit on the matching can be a bit annoying and there's a few errors in the translation. Otherwise fun puzzles and story,4,0,2020-09-16 04:00:00,tPLyC2wXaT4wfYy6,2020-09-16,1600228800.0,Adventure
com.Galaxy4Games.BingoLoveinMontana,FUN,5,0,2021-01-20 05:00:00,tPLyC2wXaT4wfYy6,2021-01-20,1611118800.0,Board
com.shanggame.shtm,Fun,5,0,2021-12-14 05:00:00,tPLyC2wXaT4wfYy6,2021-12-14,1639458000.0,Strategy
com.ludo.king,Game is good but when we play the game its to much lag and when we roll the token it freezes for second allover please fix this and give some themes free without advertising if the problem fix ! I'll surely give 5 star 🙂,3,0,2022-04-03 04:00:00,tPLyC2wXaT4wfYy6,2022-04-03,1648958400.0,Board
com.reliablecoders.moodmeter,"Thank you for building the app. I thing your usability design is great and the concept itself is extremely important for making a positive change in terms of SEL. Purchased the app to support the amazing work you are doing, keep going!",5,3,2019-12-11 05:00:00,tbQUkpIpeXhVn8vk,2019-12-11,1576040400.0,Lifestyle
org.joa.zipperplus7,Works perfectly and easy to learn.,5,0,2020-02-17 05:00:00,tbQUkpIpeXhVn8vk,2020-02-17,1581915600.0,Tools
com.photomyne.colorize,Nice app. I appreciate,4,0,2021-12-04 05:00:00,tbQUkpIpeXhVn8vk,2021-12-04,1638594000.0,Photography
com.upside.consumer.android,getting very slow return on the visits. need to be a little better then first starting this damn app. taking ALOT LONGER. now its about a week. becoming a waste of time,1,0,2021-12-30 05:00:00,tbQUkpIpeXhVn8vk,2021-12-30,1640840400.0,Travel & Local
air.com.sgn.cookiejam.gp,time goes quickly,4,0,2022-03-03 05:00:00,tbQUkpIpeXhVn8vk,2022-03-03,1646283600.0,Puzzle
org.kde.necessitas.ministro,love it,5,0,2016-12-19 05:00:00,tcQo4q3y1CVObMOY,2016-12-19,1482123600.0,Libraries & Demo
air.com.RustyLake.CubeEscapeHarveysBox,Interesting!!!!!,5,0,2017-06-04 04:00:00,tcQo4q3y1CVObMOY,2017-06-04,1496548800.0,Puzzle
mobi.ka.gp.wrkshts.app,Nice apps,5,2,2017-07-22 04:00:00,tcQo4q3y1CVObMOY,2017-07-22,1500696000.0,Education
ai.replika.app,It's becoming something for the devs to just profit from rather than helping those who are actually looking for someone to confide in.,2,1,2022-01-06 05:00:00,tcQo4q3y1CVObMOY,2022-01-06,1641445200.0,Health & Fitness
com.wf.wellsfargomobile,good,5,0,2022-03-26 04:00:00,tcQo4q3y1CVObMOY,2022-03-26,1648267200.0,Finance
com.mobilityware.Hearts,Good game...but don't need ads for other games between play...very distracting.,4,1,2020-03-02 05:00:00,thTREZWFpwWs9grY,2020-03-02,1583125200.0,Card
com.bricksbreaker.balls.crusher.bricks,"Nice game, but too many ads on",4,0,2021-10-01 04:00:00,thTREZWFpwWs9grY,2021-10-01,1633060800.0,Arcade
com.playkot.ageofmagic,"It was much better before last few updates. Biggest disappointment was arcane stars. You spend time building characters but can go forever without getting the arcane stars that you want so that you can play the heroes you want to play. Still waiting for stars for Abaddon, Lucky, Silver moon and a few others. Latest update increases level caps to give end game player more to do but rewards are in chests and chests are very disappointing. You always get lowest or nearly lowest possible chest prize",1,33,2021-11-22 05:00:00,thTREZWFpwWs9grY,2021-11-22,1637557200.0,Role Playing
com.igg.android.lordsmobile,"This game only gets worse and more frustrating over time. The second you arent checking in on it, your getting attacked by some ultra powerful person. The moments you feel happy or excited are few and far between, but the moments you are angry or frustrated are constant. Unless you want to check this game every few seconds stay away, it will be better for you social life and mental helth",1,82,2022-01-30 05:00:00,thTREZWFpwWs9grY,2022-01-30,1643518800.0,Strategy
com.snapbreak.tinyrobots,We need walkthroughs... Hints Sometimes aren't enough (especially when my Brain's tired),3,0,2022-02-12 05:00:00,thTREZWFpwWs9grY,2022-02-12,1644642000.0,Puzzle
com.redemptiongames.sugar,"I've been loving the game but got to level 101 and it will not play, it's as though it's frozen. please fix or i will have to uninstall",4,0,2019-08-14 04:00:00,tid1UT1FxdQ6fSv6,2019-08-14,1565755200.0,Puzzle
net.supertreat.solitaire,"I play this game daily. I do enjoy it. My only complaint is that the amount if coin it takes to play a level vs what you can ""harvest"" in an hour; makes the game at some points futile. The reward after a level barely leads to profit as well. I understand that is nature of the games.. To have you hooked and to get you to spend money..which i have. I just wish they would up the rewards so that you could play even the side games easily without going bankrupt, literally and figuratively.",5,251,2020-07-02 04:00:00,tid1UT1FxdQ6fSv6,2020-07-02,1593662400.0,Card
com.symantec.securewifi,"Sometimes app disconnects VPN without notice. This puts me at risk. If I'm paying for a 24/7 service, shouldn't I receive just that? If this problem persists, I'll find another company that's more reliable. Please review your updates as they may have software problems. Other reviews have mentioned this issue also. (Advise), not all updates are nessesarily good. And don't ask me to discribe the issue. I just did.",4,694,2020-09-27 04:00:00,tid1UT1FxdQ6fSv6,2020-09-27,1601179200.0,Tools
com.firsttouchgames.smp,The goalkeeper should be controllable while defending. And the offensive a I should be improved foul mechanics should also be improved. And update this game now!!!. I can't se my leaderboard even after Google Play games login,3,2,2020-12-19 05:00:00,tid1UT1FxdQ6fSv6,2020-12-19,1608354000.0,Sports
io.moreless.tide,Great,5,0,2021-10-26 04:00:00,tid1UT1FxdQ6fSv6,2021-10-26,1635220800.0,Health & Fitness
com.animocabrands.google.CrazyDefenseHeroes,can consider selling material or chest with gold . give plenty of gold but nothing to spent on,4,0,2019-06-19 04:00:00,toi46AysRB9ZOsgQ,2019-06-19,1560916800.0,Strategy
com.playsidestudios.safezonezombie,Game won't even start up. So upset I got to play for like twenty minutes app crashed and now it won't open anymore,2,2,2019-11-01 04:00:00,toi46AysRB9ZOsgQ,2019-11-01,1572580800.0,Arcade
com.kongregate.mobile.throwdown.google,Its fantastic. First you dont have ads every five minutes like other games and on top of that it gives you ads only if you want to boost or something and it's your choice.All together it's a really fun game to play,5,1,2021-02-19 05:00:00,toi46AysRB9ZOsgQ,2021-02-19,1613710800.0,Adventure
com.rhmsoft.pulsar.pro,"Not bad, album cover update sometimes is a little off, All else is great!",4,1,2021-06-28 04:00:00,toi46AysRB9ZOsgQ,2021-06-28,1624852800.0,Music & Audio
com.turner.cnplay,It's really fun and I think it is a good game to download Yeah.,5,0,2022-02-19 05:00:00,toi46AysRB9ZOsgQ,2022-02-19,1645246800.0,Arcade
com.orbital.brainiton,"What an amazing game! Some of those are impossible (for me!) Very smooth graphics and great physics! Ads are minimal and not a bother at all. As a programmer myself, I totally understand! When the world gets back to normal, I'll buy this game. Haven't worked in 4 months like millions of people... Thank you.",5,67,2020-04-23 04:00:00,tyO9gwyhDP1vlLee,2020-04-23,1587614400.0,Puzzle
com.halfbrick.fruitninja,By mistake purchase this app. Please refund my amount. And not showing refund option.,1,17,2020-11-13 05:00:00,tyO9gwyhDP1vlLee,2020-11-13,1605243600.0,Arcade
com.naturalmotion.clumsyninja,I love this I love this game it's so cool it is so cool because you can move the whole things and then you can punch the person and then you can move it and then you have to go to the other spot and then you have to fight and then you have to beat him up and then you can't strong everywhere we want,3,0,2021-03-24 04:00:00,tyO9gwyhDP1vlLee,2021-03-24,1616558400.0,Adventure
com.blackoutage.game,i absolutely love this game! as far as I'm concerned you can consider my rating to be triple the stars! Plus I would love to have my picture in it as a survivor!😁🥰,5,0,2021-07-02 04:00:00,tyO9gwyhDP1vlLee,2021-07-02,1625198400.0,Role Playing
com.wordgame.words.towin.cash.rewardify,They could at least let u win a lil more money a lil quicker. I played for 3 months n only had 6.55. Other than that it's fun to play.,4,2,2021-12-28 05:00:00,tyO9gwyhDP1vlLee,2021-12-28,1640667600.0,Casino
video.player.videoplayer,Goodyear app,5,0,2022-03-20 04:00:00,tyO9gwyhDP1vlLee,2022-03-20,1647748800.0,Video Players & Editors
us.kr.baseball,Dumb. This game has dumb controls.,1,0,2018-12-31 05:00:00,tzY9CzBktTUAheUL,2018-12-31,1546232400.0,Sports
com.vividgames.gravity.rider.zero.bike,Very good and entertaining .PLUSS fun .Thank you for asking me .,5,0,2020-02-17 05:00:00,tzY9CzBktTUAheUL,2020-02-17,1581915600.0,Racing
air.au.com.minimega.bonzanatgeo,It's a great new word game,5,0,2020-11-12 05:00:00,tzY9CzBktTUAheUL,2020-11-12,1605157200.0,Word
com.hello.german,"Excellent app to learn new vocabulary or just test your understanding! I don't think English translations for the articles are necessary as we might end up relying on that. I love how after clicking on the word, you can click on the meaning to see how the word is conjugated (for a verb). The grammar section also explains in great detail! This app is a great complement to your German language study. This would be a great complement with a flashcard app as well.",5,0,2020-11-29 05:00:00,tzY9CzBktTUAheUL,2020-11-29,1606626000.0,Education
com.reddoorz.app,If looking room stay as hotel alternative... With economy price...,5,0,2022-02-06 05:00:00,tzY9CzBktTUAheUL,2022-02-06,1644123600.0,Travel & Local
com.sparklingsocietytycoon.paradisecityislandsim,not that great waste of time do not download 😤😤😤👹👹🕵🕵,1,1,2019-06-05 04:00:00,tzet73Uxe3Tq6n4M,2019-06-05,1559707200.0,Simulation
com.pgstudio.survivalpro,"READ THE TERMS AND CONDITIONS: THIS DEVELOPER IS SELLING YOUR INFO TO A ""THIRD PARTY""",1,2,2020-02-03 05:00:00,tzet73Uxe3Tq6n4M,2020-02-03,1580706000.0,Adventure
com.prequel.app,I recommend this app because the Sparkles work and they are amazing and if you have Tik Tok that is the trend right now from the filters,5,0,2020-05-29 04:00:00,tzet73Uxe3Tq6n4M,2020-05-29,1590724800.0,Photography
com.mobiledatalabs.mileiq,Easy mile tracking !,5,0,2020-12-26 05:00:00,tzet73Uxe3Tq6n4M,2020-12-26,1608958800.0,Finance
com.imaginstudio.imagetools.pixellab,not bad,2,0,2021-07-27 04:00:00,tzet73Uxe3Tq6n4M,2021-07-27,1627358400.0,Photography
com.everimaging.goart,So far so good,3,0,2021-11-06 04:00:00,tzet73Uxe3Tq6n4M,2021-11-06,1636171200.0,Photography
com.google.android.apps.translate,"Ditto on the new lousy format. We worked hard in my shop, too. We had a sign on the wall that read, ""If it ain't broke, don't fix it!"" and we never let executives or marketing staff design.",1,1,2022-03-17 04:00:00,tzet73Uxe3Tq6n4M,2022-03-17,1647489600.0,Tools
